ent_id, ent_name, category
13,4U,Amount
39,25ng/ml,Amount
88,25nmol/ml,Amount
109, 80mg per day, Amount
121,0.15U/kg,Amount
129,25~50μg/d,Amount
170,20~50rnl,Amount
214, 2.5 mg, Amount
274,medium dose,Amount
324,1~16,Amount
336,37.5μg/d,Amount
343,28000mg,Amount
354, a large amount, Amount
369, 40mg per day, Amount
427, the daily dosage is more than 40u, Amount
454, small dose, Amount
484,500ml,Amount
511,500mg,Amount
514,10mg,Amount
528,51.3±26.7)U/d,Amount
551,60~100mg/d,Amount
578,500pmol/L,Amount
620,1700mg/d,Amount
624,2~6U,Amount
642, 2 capsules, Amount
672, 10~20mg, Amount
677,70~120 Zi, Amount
691,300mg,Amount
742, the demand increased by 25%~30%, Amount
746,0.7U,Amount
757,150~300mg/d,Amount
802,5~10,Amount
811, 1500~2000ml, Amount
812, reduce 20%~25% per kg body weight, Amount
861,0.1~0.3U/(kg d),Amount
867, 50~100mg each time, Amount
883,2.5mg,Amount
905, 8 peptides, Amount
910,100mg,Amount
923, dose halved, Amount
926,0.2 kg-1 d-1, Amount
939,50μgqd,Amount
947, 1.0g, Amount
964,10mg·kg-1·d-1, Amount
977,15,Amount
1060,37.5mg,Amount
1070,30~60,Amount
1100,1000mg,Amount
1113,500mg/tablet,Amount
1140, 1~2 orders, Amount
1143,2.5~30.0,Amount
1177, reduce 10U, Amount
1227,>200μg/d, Amount
1261,1,10,20μmol/L,Amount
1279,13.0mg/d,Amount
1402,2000rng/d,Amount
1411, 0, 25, 50 and 100nmol/ml, Amount
1439, 1~2 units, Amount
1444, 3.75mg/time, Amount
1461, the usual dosage is 50mg/d, Amount
1502,1μmol/L,Amount
1564,1000,Amount
1607,0.5g/piece,Amount
1619,0.5~lg,Amount
1626,50 units/day,Amount
1671,0.75mg,Amount
1686,2~4g/d,Amount
1712, greater than 80U, Amount
1715,70%,Amount
1730,45mg/d,Amount
1743,80m∥d,Amount
1789,2~3g/d,Amount
1808,(0.7±0.1)U/h,Amount
1840,250ml,Amount
1879,4000IU,Amount
1925, (250mg/tablet, Amount
1931,501TIg/a,Amount
1941, up to 1.2U/kg, Amount
1976, 0.2~0.3 unit/kg body weight, Amount
1993, 500~2000 mg/day, Amount
1996, 60mg, Amount
2008,400mg/L,Amount
2018,0.6~1.8mg/d), Amount
2022, 25mgqd, Amount
2045,0.03μg/kg,Amount
2101,0.2mg,Amount
2135,20,Amount
2205, 1.5mg/eGFR, Amount
2241, 20~40mg/kg per day, Amount
2278,8g,Amount
2323,10μg/ml,Amount
2373,0.10μmol/L,Amount
2387,30mg/kg,Amount
2388,200μg/kg,Amount
2394,2.5mg/d,Amount
2416,200mg/d,Amount
2422,24mg/d,Amount
2428,40mg,Amount
2431, less than 50U/d, Amount
2439,10%~15%,Amount
2546,50μg,Amount
2554,7.5mg/week,Amount
2617,5.5mmol/L,Amount
2618, super large dose, Amount
2692,0.28 tid,Amount
2720,1000nmol/L,Amount
2858,75~100mg/d,Amount
2914,1.8mg,Amount
2932,300mg/kg,Amount
2945,16U,Amount
2949,1500~2550 nag, Amount
2965,80mg,Amount
2986,150~600,Amount
2987, the maximum dose is 100m∥d, Amount
3026,1U/kg,Amount
3032, 15~45mg/d, Amount
3040,5.0μmol/L,Amount
3074,35mg/kg,Amount
3087,1750mg/d,Amount
3113,3.0~4.0,Amount
3169,2000~2550mg/d,Amount
3173,3.0mg/d,Amount
3175,25μg,Amount
3186,1 times,Amount
3194,60mg per meal,Amount
3220,75mg/d,Amount
3250,500 zil,Amount
3255,379mg,Amount
3256,8U,Amount
3359,320mg/d,Amount
3377,300IU,Amount
3394,0.2mg/kg,Amount
3398,600mg/tablet,Amount
3401,100μg/kg,Amount
3413,50mg,Amount
3444,15U,Amount
3451,≤125IU,Amount
3480,0.30mg/kg,Amount
3494,250mg/tablet,Amount
3501,2000me/d,Amount
3507, 0.2~0.4 unit/kg body weight, Amount
3520,30~50,Amount
3553,300rag/d,Amount
3555,75mg,Amount
3602, 120mg per day, Amount
3606,20mg,Amount
3614, 10~24g, Amount
3617,30g,Amount
3644,40mmol/L,Amount
3650,1mg+500mg/tablet,Amount
3651,1 piece,Amount
3711, 45~50mg/d, Amount
3719, <750mg, Amount
3765, 12.5~25mg/d, Amount
3837,200,Amount
3841, 2~3 units, Amount
3852,15μg,Amount
3884,3 units,Amount
3887, 12~18 units, Amount
3960,80~320,Amount
3967,20mgbid,Amount
4003, 30~120mg/d, Amount
4051,80μg,Amount
4078,1 piece,Amount
4085, 300mg per day, Amount
4100,0.14U/kg,Amount
4117,50ng/ml,Amount
4136,1~2U/kg,Amount
