ent_id, ent_name, category
1, p70S6K, Anatomy
2, neutral endopeptidase, Anatomy
9. Renal tubular cells, Anatomy
14, fibroblast growth factor induced early response protein 14, Anatomy
22, Serosa, Anatomy
29, Renal blood vessels, Anatomy
38, BRAF V600E, Anatomy
48, Inositol Requirement Kinase-1, Anatomy
61, solitary tract nucleus, Anatomy
62, right shoulder, Anatomy
64, hypothalamic GnRH neurons, Anatomy
65, ERR-a, Anatomy
71, Thioredoxin binding protein 2, Anatomy
81, stem cells, Anatomy
82, GLP-2, Anatomy
84, DPP-4, Anatomy
90, brush border of small intestinal mucosa, Anatomy
92, GATA gene, Anatomy
96, CHOP-JNK-Caspase12 apoptosis signal, Anatomy
107, anti-aging gene Klotho, Anatomy
108, Raf1, Anatomy
111 Lungs, Anatomy
113, human urate transporter gene, Anatomy
122, germinal center, Anatomy
126, apoptosis protein CCAAT, Anatomy
128, HMG-CoA, Anatomy
131, Exon 1, Anatomy
141, Pipelin, Anatomy
147, human glucagon-like peptide, Anatomy
161, Eukaryotic cells, Anatomy
166, Collagen, Anatomy
169, p21, Anatomy
174, PPARG, Anatomy
181, Hand, Anatomy
183, miroRNA, Anatomy
186 Glandular, Anatomy
187, Chromosome, Anatomy
190, APPL1 gene, Anatomy
193, intestinal mucosal epithelial cells, Anatomy
202, RASS system, Anatomy
205, chromogranin alpha, Anatomy
213, Cell membrane glucose transporter, Anatomy
215, reduced coenzyme 2, Anatomy
223, T, B lymphocytes, Anatomy
224, Cbfal gene, Anatomy
231 Groin, Anatomy
236, Inflammatory cells, Anatomy
238, Trigeminal Nerve, Anatomy
246, Bcl, Anatomy
248, lipoprotein lipase gene, Anatomy
249,COL4A5,Anatomy
250, Peripheral Muscle Tissue, Anatomy
253, Pax-4, Anatomy
254, RSVs, Anatomy
257, IkB kinase, Anatomy
261, CML, Anatomy
263, glomerular efferent arteriole, Anatomy
270, miR-143, Anatomy
285, Bone tissue, Anatomy
288, NF-κB pathway, Anatomy
301, renal glomerular mesangial cells, Anatomy
306, cholesterol side chain lyase, Anatomy
309, G protein-coupled stimulator receptor signaling pathway, Anatomy
318, beta gene, Anatomy
329, O cells, Anatomy
332, Matrix metalloproteinase 7, Anatomy
333, HGF, Anatomy
345, gastric endocrine cells, Anatomy
349,Hydrogen peroxide,Anatomy
362 Skull, Anatomy
363, Cyclin-dependent protein kinase D1, Anatomy
365, p-JNK, Anatomy
372, Cytokeratin 18, Anatomy
377, Rear Cable, Anatomy
378, pituitary proopiomelanocortin (POMC) expressing cells, Anatomy
379, CKK, Anatomy
396, CHOP gene, Anatomy
406, Kidney TGF-β1, Anatomy
407, Cyclin-dependent protein kinase E, Anatomy
408,Sclerostin,Anatomy
415, Caspase12 mRNA, Anatomy
421, connecting tubule cells, Anatomy
422, RNA Binding, Anatomy
428, nkx2-1, Anatomy
432, insulin suppressor gene, Anatomy
442, Intercellular adhesion molecule-1, Anatomy
444, Fatty acid synthase, Anatomy
449, immune receptor, Anatomy
462, Bregs, Anatomy
463, showing cardiovascular, Anatomy
479,Bone Marrow,Anatomy
480, Renal ERS-related apoptosis molecules, Anatomy
487, Cardiac Vagus Nerve, Anatomy
492, Vascular endothelial cells, Anatomy
496 Cornea, Anatomy
509,Skin,Anatomy
513, blood flow, Anatomy
517, left trunk, Anatomy
523, Trabecular bone, Anatomy
530, UCP-2, Anatomy
531, Pancreatic-duodenal homeobox gene 1, Anatomy
534, 3T3-L1, Anatomy
536,SGLT2,Anatomy
542, Saturated Fatty Acid, Anatomy
543,CLCNKB,Anatomy
553, CTLA-4 antigen, Anatomy
554, p-Akt, Anatomy
561, IP-10, Anatomy
565,Calase,Anatomy
569, MSC, Anatomy
572,Crypt cells,Anatomy
580, p27Kip1, Anatomy
582 Adventitia of Thoracic Aorta, Anatomy
584, NK2 cells, Anatomy
589,partial cortex,Anatomy
595, 13 cells, Anatomy
599, kidney cells, Anatomy
604,GRN,Anatomy
605, brush border cells, Anatomy
607, 11β-HSD, Anatomy
614, IRS-1 protein, Anatomy
623,Q141K,Anatomy
626, first metatarsophalangeal joint, Anatomy
627 Wrist, Anatomy
632,β-Catenin,Anatomy
634 Lymph node, Anatomy
649, VDR gene, Anatomy
654, JNK/SAPK, Anatomy
656, Proximal tubule, Anatomy
660, right coronary artery, Anatomy
673, Serine, Anatomy
676 Coronary plaque, Anatomy
679 Non-endocrine glands, Anatomy
685,Smad4,Anatomy
688, Scavenger receptor, Anatomy
690, Ileoscopic Department, Anatomy
701, CDKAL1, Anatomy
708, Caspase-3, Anatomy
714, GIPR, Anatomy
720, oxidative phosphorylation system, Anatomy
724,AA,Anatomy
725, Cellular Respiratory Chain, Anatomy
727, Vaspin, Anatomy
729 Venous circulation, Anatomy
745, Cell Lipid Binding Protein, Anatomy
754, Pancreatic endocrine cells, Anatomy
755, HNF1B, Anatomy
767, prime beta cells, Anatomy
782,CIDEB/C,Anatomy
783, Bone Microcirculation, Anatomy
784, Glucose transporter 4 (GLUT-4), Anatomy
788, Sertoli cells, Anatomy
793 Kidney tubule, Anatomy
794, type 2 transmembrane glycoprotein, Anatomy
795, Intravascular foam cells, Anatomy
797, CEL, Anatomy
807, Physiological insulin secretion stimulating polypeptide, Anatomy
808, Akt, Anatomy
813, non-vertebral body, Anatomy
822, Thyroid follicle, Anatomy
828 Nerve fiber, Anatomy
830, Transforming Growth Factor-beta, Anatomy
831 Epiphysis, Anatomy
835, bone formation-related protein, Anatomy
837, Protein tyrosine phosphatase 1B, Anatomy
840, Sodium-glucose cotransporter 2, Anatomy
849, LXRs, Anatomy
855, ion channel gene, Anatomy
862, Skeletal muscle satellite cells, Anatomy
865, PI3K/Akt signaling pathway, Anatomy
887,Bone resorption,Anatomy
889, Effector T cells, Anatomy
893, Allogeneic Mesenchymal Stem Cells, Anatomy
895, Co-Smad protein, Anatomy
897, Macrophage, Anatomy
901, Neuromicrovascular, Anatomy
915, RAGE receptor, Anatomy
920, PDX-1, Anatomy
929, type 3 fibronectin domain 5, Anatomy
930, Limbs, Anatomy
936, endoplasmic reticulum transmembrane protein, Anatomy
938, CYP7A1, Anatomy
940, PRKAB2, Anatomy
943, Esophagus, Anatomy
945, Fibronectin, Anatomy
952, miR-29, Anatomy
953 Rectum, Anatomy
954, the RIPE3b1/C1 element of the insulin gene promoter region, Anatomy
958, Plasminogen Activator Inhibitor-1, Anatomy
974, Podocytes, Anatomy
980, islet β-cell antigen, Anatomy
983,dentate gyrus,Anatomy
984,Src,Anatomy
990, Endothelial cell function, Anatomy
996 Gallbladder Anatomy
997,Pituitary,Anatomy
999, Soluble RAGE, Anatomy
1001, saddle, Anatomy
1002 Jawbone, Anatomy
1003, mitochondrial respiratory chain, Anatomy
1014, Rheumatism immunity, Anatomy
1015, orbital vessels, Anatomy
1016, miR-200, Anatomy
1017, BiP, Anatomy
1022,SLC47A1,Anatomy
1027, seminal vesicle, Anatomy
1033, Hepa1-6 cells, Anatomy
1037 Mediastinum, Anatomy
1038, Irisin protein, Anatomy
1045, XBP-1s, Anatomy
1063 Exocrine Pancreas, Anatomy
1064, microbubble, Anatomy
1072,Unilateral ovary,Anatomy
1073 Hip, Anatomy
1082, L-O2 Hepatocytes, Anatomy
1088, liver cell plasma, Anatomy
1089,"Glyceraldehyde-3-phosphate to 1,3-diglyceric acid", Anatomy
1090, caudal suture nuclei, Anatomy
1092, Arteries, Anatomy
1093, renal artery, Anatomy
1101, GLP, Anatomy
